run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260815-195432-2-r001,s-20260815-195432-2,p1,Ne,ENFP / ENTP,villager,3,60.3,p4,false,0.003,2,1,0,0,0,4
s-20260815-195432-2-r001,s-20260815-195432-2,p2,Ti,ISTP / INTP,villager,3,47.0,p3,false,0.003,1,1,1,0,0,0
s-20260815-195432-2-r001,s-20260815-195432-2,p3,Fe,ESFJ / ENFJ,werewolf,3,44.3,p1,true,0.003,0,0,0,0,3,0
s-20260815-195432-2-r001,s-20260815-195432-2,p4,Si,ISTJ / ISFJ,villager,3,40.3,p2,false,0.003,0,1,0,0,0,0
