run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260815-210707-r001,s-20260815-210707,p1,Ne,ENFP / ENTP,werewolf,0,0.0,,,3.011,0,0,0,0,0,0
s-20260815-210707-r001,s-20260815-210707,p2,Ti,ISTP / INTP,villager,0,0.0,,,3.011,0,0,0,0,0,0
s-20260815-210707-r001,s-20260815-210707,p3,Fe,ESFJ / ENFJ,villager,0,0.0,,,3.011,0,0,0,0,0,0
s-20260815-210707-r001,s-20260815-210707,p4,Si,ISTJ / ISFJ,villager,0,0.0,,,3.011,0,0,0,0,0,0
