run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260815-191613-r003,s-20260815-191613,p1,Ne,ENFP / ENTP,villager,3,60.3,p3,true,0.009,2,1,0,0,0,4
s-20260815-191613-r003,s-20260815-191613,p2,Ti,ISTP / INTP,villager,3,47.0,p4,true,0.009,1,0,1,0,0,0
s-20260815-191613-r003,s-20260815-191613,p3,Fe,ESFJ / ENFJ,villager,3,44.7,p4,true,0.009,0,0,0,0,4,0
s-20260815-191613-r003,s-20260815-191613,p4,Si,ISTJ / ISFJ,werewolf,3,44.0,p2,false,0.009,0,2,0,0,0,0
