run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260816-112305-r005,s-20260816-112305,p1,Ne,ENFP / ENTP,werewolf,10,181.7,p4,true,428.897,3,8,19,4,0,14
s-20260816-112305-r005,s-20260816-112305,p2,Si,ISTJ / ISFJ,werewolf,10,180.2,p4,true,428.897,11,2,8,2,1,1
s-20260816-112305-r005,s-20260816-112305,p3,Fi,ISFP / INFP,werewolf,10,176.4,p4,true,428.897,6,15,12,3,0,4
s-20260816-112305-r005,s-20260816-112305,p4,Te,ESTJ / ENTJ,villager,10,169.8,p3,false,428.897,3,12,1,2,0,1
