run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260816-112305-r010,s-20260816-112305,p1,Ne,ENFP / ENTP,werewolf,10,192.2,p2,true,399.766,0,4,22,4,0,15
s-20260816-112305-r010,s-20260816-112305,p2,Si,ISTJ / ISFJ,villager,10,186.9,p4,false,399.766,7,1,3,3,1,6
s-20260816-112305-r010,s-20260816-112305,p3,Fi,ISFP / INFP,werewolf,10,180.8,p2,true,399.766,7,5,19,2,0,0
s-20260816-112305-r010,s-20260816-112305,p4,Te,ESTJ / ENTJ,werewolf,10,155.1,p2,true,399.766,0,11,11,1,1,0
