run_id,series_id,player_id,function,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260815-194748-r001,s-20260815-194748,p1,Ne,villager,3,137.7,p4,false,169.827,1,0,0,0,0,4
s-20260815-194748-r001,s-20260815-194748,p2,Ti,villager,3,95.3,p4,false,169.827,0,1,0,0,1,1
s-20260815-194748-r001,s-20260815-194748,p3,Fe,werewolf,3,115.3,p4,true,169.827,0,0,2,0,0,0
s-20260815-194748-r001,s-20260815-194748,p4,Si,villager,3,80.3,p2,false,169.827,0,0,3,1,0,0
