run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260815-191613-r002,s-20260815-191613,p1,Ne,ENFP / ENTP,villager,3,52.0,p3,false,0.01,2,0,0,0,0,4
s-20260815-191613-r002,s-20260815-191613,p2,Ti,ISTP / INTP,werewolf,3,45.7,p1,true,0.01,0,1,0,0,0,0
s-20260815-191613-r002,s-20260815-191613,p3,Fe,ESFJ / ENFJ,villager,3,44.7,p1,false,0.01,0,0,0,0,4,0
s-20260815-191613-r002,s-20260815-191613,p4,Si,ISTJ / ISFJ,villager,3,40.3,p3,false,0.01,0,1,0,0,0,0
