run_id,series_id,player_id,function,mbti_types,role,speech_count,avg_chars,final_vote,win,elapsed_seconds,suspicion_count,suspected_by_count,question_count,rebuttal_count,agreement_count,hypothesis_count
s-20260816-112305-r008,s-20260816-112305,p1,Ne,ENFP / ENTP,werewolf,10,195.3,p4,true,399.017,7,7,6,6,0,11
s-20260816-112305-r008,s-20260816-112305,p2,Si,ISTJ / ISFJ,werewolf,10,184.5,p4,true,399.017,9,7,9,2,0,0
s-20260816-112305-r008,s-20260816-112305,p3,Fi,ISFP / INFP,werewolf,10,169.0,p4,true,399.017,8,8,17,6,1,1
s-20260816-112305-r008,s-20260816-112305,p4,Te,ESTJ / ENTJ,villager,10,160.5,p3,false,399.017,5,19,7,3,0,3
